geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_zorg;kosten_farmacie;kosten_specialistische_ggz;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysiotherapie;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_generalistische_basis_ggz;kosten_langdurige_ggz;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiezorg;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_integrale_geboortezorg;kosten_innovatiegelden_ggz;kosten_overig
V; 5 t/m  9 jaar;OLDENZAAL;800;798.45;214266.75;40524.33;0;56695.36;12357.42;7137.62;41771.42;29363.41;118283.28;37442;114584.49;0;1681.22;0;0;0;0;552.04;0;0;0;0;0;0;0;46840.01
V; 5 t/m  9 jaar;OLST-WIJHE;420;418.4;344350.83;26546.58;0;29460.08;8831.11;1398.35;30493.01;26885.39;53113.36;9533.27;52743.31;486.56;3698.31;0;0;0;0;70.05;0;0;0;4259.05;0;0;0;7444.25
V; 5 t/m  9 jaar;OMMEN;478;476.48;169944.63;11691.82;0;32732.88;7127.53;645.37;25130.43;18520.29;62416.36;22476.17;36061.92;0;871.27;0;0;0;0;0;0;0;0;0;0;0;0;5853.82
V; 5 t/m  9 jaar;OOST GELRE;686;682.74;215227.4;31550.33;0;48536.52;14496.64;112.72;35160.62;29292.92;120971.77;13349.42;54906.61;0;945.73;0;0;0;0;61.82;0;0;0;70467.21;0;0;0;10773.49
V; 5 t/m  9 jaar;OOSTERHOUT;1418;1408.15;470827.35;54138.07;0;98555.66;24831.14;14331.46;52960.26;48109.07;234676.12;59460.75;145611.39;5792.56;0;0;0;0;0;867.06;0;0;0;28396.15;0;0;428.69;125206.63
V; 5 t/m  9 jaar;OOSTSTELLINGWERF;585;580.56;192109.51;21849.07;0;40583.84;11694.55;1710.49;31281.12;14323.33;66018.36;36805.07;24149.28;1049.12;1716.26;0;0;0;0;729.17;0;0;0;34023.3;0;0;0;7115.35
V; 5 t/m  9 jaar;OOSTZAAN;260;257.53;60407.02;7063.6;0;18070.48;5461.16;2017.51;18321.32;3714.31;51254.5;5699.72;17498.13;0;1589.24;0;0;0;0;0;0;0;0;252.48;0;0;0;2558.21
V; 5 t/m  9 jaar;OPMEER;268;263.38;58690.24;46386.07;0;18664.5;4273.54;49.64;6965.39;3114.73;52736.97;2550.58;14735.48;0;0;0;0;0;0;76.3;0;0;0;0;514.02;0;0;14970.63
V; 5 t/m  9 jaar;OPSTERLAND;729;723.22;657607.29;62128.3;0;51058.4;12891.47;75.66;34418.56;55491.46;81285.82;17424.21;27671.3;6576.16;4856.92;0;0;0;0;141.63;0;0;0;282678.73;0;0;0;44031.45
V; 5 t/m  9 jaar;OSS;2251;2234.78;771474.82;262644.75;0;159832.46;51222.97;3320.94;111960.14;80409.09;437570.98;71364.68;340684.42;15982.64;7979.85;0;0;0;0;1334.69;0;0;0;8081.52;0;0;282.36;130062.01
