geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_zorg;kosten_farmacie;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysiotherapie;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiezorg;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_integrale_geboortezorg;kosten_innovatiegelden_ggz;kosten_overig;kosten_consulten_ggz;kosten_intramuraal_verblijf_ggz;kosten_overige_prestaties_ggz
M;90+;BOEKEL;29;25.91;83141.56;29792.95;4715.29;16181.36;2118.22;4486.91;18259.24;0;2834.65;1117.44;0;7487.38;0;0;0;0;42172.47;1362.84;84714.79;0;0;0;1161.65;0;0;0
M;90+;BORGER-ODOORN;82;68.73;252448.54;73882.35;12852.63;19258.2;8370.68;16048.43;37752.69;555.62;0;796.6;8547.86;21999.66;0;0;0;0;0;47039.3;254957.77;0;0;0;3199.53;0;0;0
M;90+;BORNE;79;68.72;251825.6;60580.89;12173.51;15424.46;8437.74;15486.3;41799.11;839.73;23223.63;3110.31;0;17826.08;0;0;0;0;44038.67;34984.26;340315.03;475.58;0;0;7547.93;0;0;0
M;90+;BORSELE;91;77.68;308360.76;78339.62;13816.08;22162.22;10087.12;15476.1;49565.88;2149.04;7732.91;3055.54;1153.56;27354.46;0;0;1153.78;0;31176.83;62607.01;384126.01;394.2;0;0;2687.05;0;0;0
M;90+;BOXTEL;110;95.04;362564.07;79434.54;14972.03;21804.17;6819.85;12013.84;33297.81;2131.11;5750.54;2544.17;0;23746.16;0;0;346.72;0;72932.47;94991.84;196061.5;0;0;0;200.22;0;0;0
M;90+;BREDA;604;536.55;2322826.17;500319.14;93320.78;131409.4;56491.6;65311.08;287344.73;27023.68;63517.1;28579.75;1365.22;148248.32;0;0;6038.63;0;185498.49;74205.41;1417053.27;10158.9;0;801.38;17800.62;4558.71;0;398.54
M;90+;BRONCKHORST;137;127.15;306722.51;143177.59;24018.75;36925.63;12396.72;35434.73;70725.52;2991.68;10012.85;4919.43;36.5;27328.52;0;0;33.56;0;34390.63;56782.26;631425.67;1130.94;0;0;7030.25;2501.24;0;1071.15
M;90+;BRUMMEN;93;77.73;275388.27;87258.37;15057.16;24935.5;7181.31;20397.53;49135.07;1277.67;6351.3;4592.84;542.4;18754.76;0;0;29.54;0;41925.42;2793.28;343601.63;0;0;0;4220.83;0;0;0
M;90+;BRUNSSUM;87;73.97;259469.75;82127.84;12651.94;21857.75;7078.21;20615.44;39374.94;1180.22;6480.58;5769.01;0;26350.8;0;0;151.45;0;105449.17;56272.29;225829.55;0;0;0;3678.42;2236.81;25119.8;0
M;90+;BUNNIK;61;54.61;213704.85;64344.33;10238.89;15360.17;5941.39;13281.29;30984.44;1699.93;8944.42;4220.69;40.43;12575.36;0;0;13133.88;0;43350.15;0;93838.8;1169.06;0;527.51;1219.64;0;0;0
