GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_MDZ;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_LANGDURIGE_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_VERPLEGING_EN_VERZORGING;KOSTEN_OVERIG
V;25 t/m 29 jaar;ZWOLLE;4773;4717.75;3947214.21;460408.98;2613056.93;277150.51;192186.39;17344.02;245111.54;181531.83;24363.56;40240.52;22438.94;19799.8;45015.75;672026.88;587917.48;202013;144295.45;26690.51;272.6;0;49483.47;28429.92
V;30 t/m 34 jaar;AA EN HUNZE;473;467.47;641675.39;126622.64;70802.37;27330.11;21269.44;2897.76;24516.06;34214.91;3364.39;5410.4;2128.25;3368.8;10608.96;123689.74;100871.65;15205.03;0;236.38;29.61;0;414.79;1259.52
V;30 t/m 34 jaar;AALSMEER;876;863.84;1012096.63;94540.11;175588.97;49994.49;36985.06;10590.43;39895.33;15372.29;1980.35;5253.7;2926.9;3134.9;6977.6;197265.5;143686.41;13023.36;0;15981.01;15.04;0;156.16;1128.32
V;30 t/m 34 jaar;AALTEN;614;607.23;628774.89;64362.56;164897.21;35975.73;29020.38;1062.41;26152.4;23630.76;9521.78;3810.45;2268.56;1413.33;8321.59;167633;90152.53;23282.03;0;4478.73;9.4;0;8022.41;591.41
V;30 t/m 34 jaar;ACHTKARSPELEN;714;712.49;873124.9;100848.16;182636.66;42439.76;36799.72;3711.62;46028.55;21477.97;5537.57;1138;4387.7;2957.96;13182.54;161939.07;117280.24;11951.82;0;560.88;918.38;0;3518.5;1156.96
V;30 t/m 34 jaar;ALBLASSERDAM;552;549.23;627570.98;68595.43;218996.98;32293.24;29074.87;1525.55;17518.57;22994.85;3458.78;1880.75;2054.46;103;8465.77;140168.71;110848.84;13593.86;0;52.98;8.93;0;256.72;1585.08
V;30 t/m 34 jaar;ALBRANDSWAARD;604;599.27;837740.3;104565.63;88306.03;35536.17;30658.23;3342.83;28552.76;13077.98;1347.79;4487.95;2752.17;0;5701.21;182431.53;121165.81;8089.23;88618.35;1710.29;0;0;860.33;1760.39
V;30 t/m 34 jaar;ALKMAAR;3468;3429.66;3763576.78;493601.57;993280.36;202109.85;140790.14;10832.95;188751.48;97229.32;9181.53;22473.6;13035.99;4985.58;61706.75;757845.44;538588.72;163219.04;0;21302.81;101.52;0;9150.88;15970.82
V;30 t/m 34 jaar;ALMELO;2057;2040.07;2666256.84;270577.43;739924.58;122349.37;102818.52;5178.6;125371.29;80218.5;17254;16280.03;12726.44;5322.32;30184.86;409507.14;315845.91;88361.81;246886.86;15002.98;37.6;0;57369.09;3614.08
V;30 t/m 34 jaar;ALMERE;7424;7316.01;9660082.34;1408540.7;1736282.53;432227.72;377083.06;153011.96;375870.32;269535.81;28053.2;62958.79;29717.26;43659.83;143362.9;1412901.36;868689.47;187926.38;0;63326.61;326.65;33247.92;239276.5;26567.15
