geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_z;kosten_farmacie;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysioth;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiez;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_integrale_geboortezorg;kosten_innovatiegelden_ggz;kosten_overig;kosten_consulten_ggz;kosten_intramuraal_verblijf_ggz;kosten_overige_prestaties_ggz
V;25 t/m 29 jaar;BRUNSSUM;680;662.32;1459197.97;101214.43;49148.41;48537;12705.34;64004.6;66289.43;5097.54;12500.91;8609.33;15457.08;12836.16;175465.33;139668.4;22092.83;0;0;0;57675.84;45284.35;0;0;152.53;401469.72;48974;3324.36
V;25 t/m 29 jaar;BUNNIK;260;255.9;264355.85;43788.69;18877.8;15657.88;5745.55;20922.23;18227;1668.34;1434.67;4894.89;0;3311.57;57419.28;45824.67;662.17;0;0;0;0;0;0;0;99.55;158569.32;0;577.03
V;25 t/m 29 jaar;BUNSCHOTEN;687;676.36;800884.57;87924.02;49090.65;44888.37;14168.62;52799.19;71623.32;5452.46;2960.82;5208.47;344.32;13540.86;245534.09;164766.41;1635.26;0;0;0;31888.59;0;4640.6;0;1986.4;208142.11;0;6859.72
V;25 t/m 29 jaar;BUREN;659;642.39;896156.26;443607.95;47202.13;40406.27;5930.61;54857.49;54170.09;11736.77;5264.69;7371.29;948.31;27312.34;181664.66;138493.82;5527.77;0;0;0;0;0;0;0;919.4;231292.87;0;4311.03
V;25 t/m 29 jaar;CAPELLE AAN DEN IJSSEL;1948;1892.52;1974179.69;268974.9;144792.81;103890.79;50772.29;173782.09;70421.68;5802.81;8157.5;16754;2691.49;30418.33;299450.71;272676.26;6447.72;0;0;0;46432.11;2632.89;1963;0;2874.06;1081929.48;287055.43;22841.91
V;25 t/m 29 jaar;CASTRICUM;791;780.73;768097.27;175686.54;58134.41;43586.67;5174.77;77187.59;43290.67;3183.21;11579.76;12404.03;1596.4;13870.21;77994.39;37592.96;13036.79;0;0;0;7118.1;0;322024.15;0;85.8;414969.25;178587.96;17595.96
V;20 t/m 24 jaar;MEPPEL;1074;1041.3;612268.28;112037.9;77107.81;72236.14;38577.67;72280.04;32718.63;7164.66;5622.4;8359.35;4775.76;18006.3;44389.79;50986.67;7162.6;0;0;0;342.2;0;0;0;17330.35;567605.16;339.16;3706.39
V;20 t/m 24 jaar;MIDDELBURG;1350;1302.45;867545.29;155540.09;95231.35;72522.06;25788.14;110797.29;65723.33;909.47;15668.54;9768.25;3906.71;19242.78;63333.1;71989.48;30842.61;0;0;0;4884.84;696.6;0;0;1359.48;675208.47;334996.98;17170.47
V;20 t/m 24 jaar;MIDDEN-DELFLAND;481;474.08;264545.15;46016.21;34765.99;1012.73;2289.41;61757.87;53739.82;3239.11;9242.08;4725.61;0;11594.76;7868.32;12509.07;717.51;0;0;0;0;0;0;0;92.68;175848.52;28841.05;9862.82
V;20 t/m 24 jaar;MIDDEN-DRENTHE;844;835.79;1062772.18;199633.38;62075.19;48260.95;27318.99;56127.44;27191.13;2693.39;11374.41;7070.43;10377.91;13035.43;30923.1;38609.49;3290.08;0;0;0;8739.27;0;0;0;2124.44;508225.2;264122.39;8369.25
V;20 t/m 24 jaar;MIDDEN-GRONINGEN;1495;1476.32;1486027.01;244151.3;111690.73;100614.5;26239.13;113408.76;49737.08;6474.19;18235.77;17286.44;6571.49;46459.74;119864.76;110901.3;6191.04;0;0;0;26430.21;16126.83;0;0;2868.19;1143478.53;380728.39;30683.06
V;20 t/m 24 jaar;MOERDIJK;944;925.4;717398.91;148081.09;68890.66;60404.14;24901.05;66616.62;69042.65;7540.59;15745.48;7451.03;38236.67;17686.43;36960.12;6426.38;2954.02;0;0;0;7916.8;0;156529.19;0;222.94;776160.35;120855;50613.19
V;20 t/m 24 jaar;MOLENLANDEN;1369;1353.29;1166490.35;281739.35;100843.95;77502.85;48832.92;73212.4;52840.22;9368.32;10270.04;6914.93;13080.25;17126.24;104938.43;96426.15;11914.11;0;0;0;8575.4;0;0;0;10027.56;540496.63;64119.9;2281.88
V;20 t/m 24 jaar;MONTFERLAND;982;974.37;806953.92;310127.91;73379.86;58800.13;23923.9;71693.41;58194.87;8576.08;19981;11868.61;2144.81;16565.87;39096.2;44421.64;6960.21;0;0;0;2611.26;0;0;0;505.02;392495.97;20998.95;14636.21
V;20 t/m 24 jaar;MONTFOORT;369;365.24;312220.12;32554.33;27170.37;20306.71;8447.3;30480.6;24030.5;7678.42;3924.59;1499.61;0;3707.52;13602.51;13451.17;2662.3;0;0;0;923.8;0;3221.9;0;209.64;162533.42;18098.9;0
V;20 t/m 24 jaar;MOOK EN MIDDELAAR;172;170.4;125616.53;19631.25;12536.48;11445.64;2499.25;13201.43;9887.94;907.44;952.75;1575.76;0;2611.59;3800.4;6739.86;0;0;0;0;0;0;0;0;0;94408.4;0;20.75
V;20 t/m 24 jaar;NEDER-BETUWE;747;727.53;566780.63;75486.3;53573.11;41660.45;6472.21;55842.95;39357.61;7323.76;8494.55;7989.69;6518.14;8113.43;89394.48;105255.21;1728.85;0;0;0;141.91;3800.52;0;0;1401.97;332748.64;153488.06;3512.37
V;20 t/m 24 jaar;NEDERWEERT;442;437.63;257188.34;71928.11;32282.69;30230.55;6793.07;31823.46;19790.38;7558.8;7848.81;6020.78;7352.48;3586.77;11204.08;11359.85;2298.43;0;0;0;0;0;0;0;51275.36;118247.65;0;242.32
V;20 t/m 24 jaar;NIEUWEGEIN;1783;1733.67;1180961.81;407131.86;129850.28;100707.1;48325.46;189582.6;62621.07;11403.59;23051.37;10223.81;5624.02;27837.77;43043.38;62502.04;15854.07;0;0;0;47437.72;0;0;0;2835.89;1175197.33;161294.45;31297.9
V;20 t/m 24 jaar;NIEUWKOOP;748;735.78;479352.09;96588.06;53736.5;43647.08;12210;58676.88;31564.52;2890.29;6532.46;5710.05;0;7680.69;13927.14;14765.48;3727.96;0;0;0;17357.63;955.68;0;0;2407.31;316823.54;17468.48;563.53
V;35 t/m 39 jaar;HORST AAN DE MAAS;1183;1166.18;1236463.94;344238.05;84702.72;60652.57;82486.97;58931.82;49323.34;6508.88;21862.08;19085.58;4074.19;15972.35;162630.01;114120.09;16202.23;0;0;0;0;0;0;0;5476.25;271833.02;12333.35;8223.44
V;40 t/m 44 jaar;ROOSENDAAL;2115;2085.87;2043149.55;483303.5;159717.22;128727.61;44786.31;121392.5;101791.83;27707.27;111569.57;27278.21;11525.19;46556.66;6913.39;1058.87;46512.51;0;0;0;24896.27;16882.83;136526.76;0;13929.63;704207.02;260295.97;19581.89
V;40 t/m 44 jaar;ROTTERDAM;21415;21063.98;28834379.93;5088528.87;1723755.99;1349390.06;802245.18;1802173.68;1049349.64;201695.66;351749.73;353669.46;66770.05;448964.25;812811.21;538552.5;348505.32;0;62740.63;81283.84;866151.6;60633.4;2018.94;0;47272.3;8078344.39;1997876.31;207020.92
V;40 t/m 44 jaar;ROZENDAAL;64;63.32;35679.1;4003.2;4688.91;2790.9;2133.55;3835.67;217.99;0;68.88;475.24;0;0;5394.4;1279.55;0;0;0;0;0;0;0;0;0;11244.37;0;0
