GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_MDZ;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_LANGDURIGE_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_EERSTELIJNSVERBLIJF;KOSTEN_VERPLEGING_EN_VERZORGING;KOSTEN_OVERIG
M;30 t/m 34 jaar;BERG EN DAL;817;805.97;452680.54;75064.17;281260.81;46962.34;20414.26;2168.76;30348.71;53716.39;2983.72;5854.55;358.32;379.24;6412.83;0;0;15364.49;0;2011.54;16.45;0;0;0;4085.2
M;30 t/m 34 jaar;BERGEIJK;513;502.22;229827.25;25836.36;209695.08;29915.82;10336.24;1691.78;11992.51;8175.08;1150.75;10818.6;3218;2859.94;5378.11;0;0;3532.18;0;5183.57;0;0;0;0;12792.38
M;30 t/m 34 jaar;BERGEN LB;305;301.2;111604.83;15610.17;27984.86;18240.21;1419.01;22137.25;14897.13;2811.36;4115.92;177;14.9;0;2366.2;0;0;2503.35;0;5141.74;3.29;0;0;3472.56;0
M;30 t/m 34 jaar;BERGEN NH;446;442.89;161266.88;24492.65;241692.73;26538.84;8591.36;815.85;11277.69;7662.32;2336.99;0;250.58;671.2;6605.37;0;0;6775.44;0;3052.22;11.28;0;0;141.6;2563.56
M;30 t/m 34 jaar;BERGEN OP ZOOM;1916;1878.68;812498.26;218285.36;1111540.4;112371.67;45048.32;7177.45;67312.88;79078.28;17370.41;11310.8;10927.59;3629.4;37985.35;0;0;28686.79;100402.73;34325.59;15.04;0;0;48635.56;11365.39
M;30 t/m 34 jaar;BERKELLAND;939;934.53;473002.19;126914.72;331479.53;57096.39;22972.64;8569.5;42588.28;12511.88;3911.46;7153.6;3579.33;6814.92;13000.76;0;0;16108.5;0;456.31;7.99;0;0;20900.81;0
M;30 t/m 34 jaar;BERNHEZE;843;832.19;364137.24;44348.62;129895.7;49957.49;18103.15;1560.88;29144.29;12398.94;1563.77;3290.25;3273.25;1250.3;8002.65;0;0;12072.11;0;744.8;9.4;0;0;910.32;684.96
M;30 t/m 34 jaar;BEST;846;829.94;313566;116360.51;469479.03;49333.19;19325.04;3442.38;16791.52;7532.01;3575.1;6498.35;1100.97;1020.6;11389.9;0;0;10640.92;0;1939.1;13.16;0;0;226.8;33548.95
M;30 t/m 34 jaar;BEUNINGEN;727;724.69;288510.3;63556.76;232577.19;43945.75;17964.75;1737.54;25304.08;10768.42;3369.7;7325.75;1804.62;1135;6701.61;911.4;0;21688.06;0;688.14;9.4;0;0;0;845.77
M;30 t/m 34 jaar;BEVERWIJK;1465;1436.35;584452.3;114091.7;498252.93;84886.94;33415.83;6627.74;58870.49;25192.1;5463.98;5664;4254.79;355;14486.12;0;0;19965.78;0;4222.8;20.68;0;0;14082.28;146.39
M;30 t/m 34 jaar;BLADEL;602;591.35;215489.3;33422.79;200800.87;35670.77;13376.56;3215.88;14861.97;6176.16;4291.27;5168.1;1945.51;660.4;2221.84;0;0;2641.44;0;15454.88;1.88;0;0;998.98;21868.16
M;30 t/m 34 jaar;BLARICUM;267;265.67;140059.98;15972.8;39557.53;16208.31;6189.36;1704.31;10456.66;5014.57;157.14;484.75;401.66;0;818.14;0;0;3845.87;0;60.95;7.52;0;0;42.12;2171.52
M;30 t/m 34 jaar;BLOEMENDAAL;268;262.68;108439.06;36092.14;64627.13;15337.04;5776.94;1472.4;9844.99;1113.68;2045.12;5467.2;428.76;671.5;6165.33;0;0;2525.59;145115.76;977.91;1.88;0;0;29865.5;470.32
