geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_zorg;kosten_farmacie;kosten_specialistische_ggz;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysiotherapie;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_generalistische_basis_ggz;kosten_langdurige_ggz;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiezorg;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_overig
M; 0 t/m  4 jaar;COEVORDEN;777;686.86;708117.15;45931.11;0;46535.16;22085.88;8644.76;69222.37;9812.63;28258.84;27420.19;22677.79;2823.59;13561.53;0;0;0;0;2646.72;0;0;0;1528.74;0;58433.32
M; 0 t/m  4 jaar;CRANENDONCK;450;402.38;744772.5;56088.62;0;26383.21;11182.16;1301.42;19462.88;8684.95;10268.01;13361.16;44216.05;1281.24;8252.08;0;0;0;0;376;0;0;0;64613.87;0;77997.67
M; 0 t/m  4 jaar;CULEMBORG;756;683.08;647205.15;64764.63;0;45951.55;21401.67;1672.64;54924.96;13625.69;20392.63;17212.87;44913.11;3935.35;8302.85;0;0;0;0;129.32;0;0;0;2777.54;0;97205.57
M; 0 t/m  4 jaar;DALFSEN;753;672.95;1158487.59;37954.75;0;44264.92;13049.31;2229.12;39004.07;38653.26;16716.98;22040.52;42958.69;9078.17;4652.68;0;0;0;0;3401.37;0;0;0;32867.44;0;91644.16
M; 0 t/m  4 jaar;DANTUMADIEL;497;440.26;640559.38;46367.63;0;28161.72;10697.45;127.64;37580.48;8328.8;12410.7;17835.18;23188.76;1409.8;16255.5;0;0;0;0;58.24;0;0;0;17789.35;0;65214.92
M; 0 t/m  4 jaar;DE BILT;1158;1061.69;1623590.13;89907.8;0;69662.42;27020.99;15818.93;97239.54;17740.75;27146.59;17320.07;51420.26;2129.74;15163.99;0;0;0;0;2129.93;0;0;0;88618.48;0;95555.86
M; 0 t/m  4 jaar;DE FRYSKE MARREN;1167;1035.08;1444924.94;48221.82;0;66646;22295.66;317.63;85786.62;24274.29;18405.15;34087.72;45992.95;4393.76;25904.59;0;0;0;0;556.14;0;0;0;4892.88;0;74599.24
M; 0 t/m  4 jaar;DE RONDE VENEN;1148;1040.02;1127781.56;57277.5;0;67801.11;30017.23;6047.64;89686.46;29813.58;30510.93;25110.21;40950.48;8016.98;17337.71;0;0;0;0;1320.54;0;0;0;46586.04;0;301435.5
M; 0 t/m  4 jaar;DE WOLDEN;575;514.08;1314181.27;66739.84;0;34051.92;13563.59;6604.61;40318.83;30942.77;15665.87;19671.28;29795.16;15627.6;13734.96;0;0;0;0;4710.03;0;0;0;15111.19;0;53883.23
M; 0 t/m  4 jaar;DELFT;2242;1982.74;2859511.23;152351.04;0;117637.11;6011.53;14201.71;295052.87;41070.45;73871.8;49416.31;109316.62;7290.01;41173.81;0;0;0;0;3021.53;0;0;0;373378.5;0;239496.73
M; 0 t/m  4 jaar;DEN HELDER;1290;1150.64;1529664.51;94283.1;0;79851.69;29242.7;277.25;100975;58257.19;36858.17;57316.36;63734.42;32025;22607.53;0;0;0;0;73.12;0;0;0;207360.11;0;218688.61
M; 0 t/m  4 jaar;DEURNE;784;709.75;1354977.99;161379.46;0;46316.68;18163.1;1771.16;38567.62;24474.31;16863.36;32130.5;51629.26;6645.19;12103.65;0;0;0;0;1384.55;0;0;0;40434.06;0;122147.49
M; 0 t/m  4 jaar;DEVENTER;2464;2202.77;3322550.66;189471.9;0;145883.9;58491.74;15384.93;243781.28;85036.87;41528.26;73296.91;158358.02;5694.72;36325;0;0;0;0;3439.54;0;0;0;44335.72;0;242526.04
M; 0 t/m  4 jaar;DIEMEN;850;758.5;1029142.94;62735.82;0;47645.19;24725.68;5762.41;70362.79;20167.01;21926.53;27070.62;56072.97;8288;21968.69;0;0;0;0;2268.8;0;0;0;128548.82;0;232306.47
M; 0 t/m  4 jaar;DIJK EN WAARD;2327;2088.81;1679083.82;136544.4;0;140246.08;53051.83;583.83;122528.17;24973.94;60427.37;36592.85;85751.66;706.16;33502.51;0;0;0;0;437.96;0;0;0;18122.29;0;166825.83
M; 0 t/m  4 jaar;DINKELLAND;634;561.69;806816.26;55869.57;0;35959.2;15241.6;4034.99;41261.9;8739.81;11002.44;37878.73;26584.03;2019.48;8389.28;0;0;0;0;0;0;0;0;5626.15;0;5673.92
M; 0 t/m  4 jaar;DOESBURG;186;168.72;144243.63;16477.83;0;11562.49;6242.65;4840.45;16079.04;2281.27;5512.69;6425.98;20107.71;1622.75;749.27;0;0;0;0;175.75;0;0;0;9621.04;0;80011.59
M; 0 t/m  4 jaar;DOETINCHEM;1334;1221.03;1572602.24;100444.52;0;80875.4;32188.2;5794.45;101455.62;17082.86;22929.6;54800.03;102623.16;1404.76;23570.7;0;0;0;0;4591.42;0;0;0;21836.54;0;200092.54
M; 0 t/m  4 jaar;DONGEN;667;597;1068318.49;113986.11;0;40092.66;19809.05;2736.17;39677.32;16329.4;15817.98;34221.6;16797.51;5962.94;15400.08;0;0;0;0;1111.31;0;0;0;60095.67;0;59268.37
M; 0 t/m  4 jaar;DORDRECHT;2974;2647.69;3571177.97;265403.1;0;180588.08;77858.23;17772.18;211156.34;96504.58;50389.18;93548.65;158296.5;18317.94;44136.53;0;0;0;0;4080.56;0;0;0;78692.62;0;299990.27
M; 0 t/m  4 jaar;DRECHTERLAND;488;429.01;637721.63;223226.08;0;28341.69;10519.33;162.17;25609.01;13556.49;14628.43;11284.58;40580.73;8177.64;9966.91;0;0;0;0;6918.41;0;0;0;13434.33;0;50845.83
M; 0 t/m  4 jaar;DRIMMELEN;566;510.77;431368.55;20121.43;0;34033.99;14902.28;1626.62;32078.25;3727.68;11221.56;15116.01;22851.1;0;7759.74;0;0;0;0;0;0;0;0;621.59;0;45957.85
M; 0 t/m  4 jaar;DRONTEN;1039;925.36;1192562.3;94627.68;0;60911.88;23535.24;440.03;89159.79;10948.68;30775.45;24258.54;53905.98;7218;14568.83;0;0;0;0;407.13;0;0;0;137;0;110528.12
M; 0 t/m  4 jaar;DRUTEN;431;390.04;660382.75;58411.58;0;25555.29;11679.47;300.29;38610.75;9554.09;16892.37;34920.22;37706.3;471;10130.6;0;0;0;0;0;0;0;0;8829.99;0;20180.1
M; 0 t/m  4 jaar;DUIVEN;517;467.9;576335.87;32463.08;0;30197.31;13081.6;4590.25;43251.71;10347.3;13711.13;12711.84;40652.17;359.94;10557.45;0;0;0;0;215.76;0;0;0;10424.22;0;39879.37
M; 0 t/m  4 jaar;ECHT-SUSTEREN;587;523.99;725828.03;53835.89;0;33615.06;17285.29;161.93;37333.81;4667.4;12418.24;19287.68;55657.01;8535.36;10025.02;0;0;0;0;7106.53;0;0;0;0;0;110925.89
M; 0 t/m  4 jaar;EDAM-VOLENDAM;852;766.35;1250782.4;136744.27;0;50194.48;27060.15;6283.03;57725.88;41521.47;18430.99;49873.49;53320.01;12009.79;14230.6;0;0;0;0;378.89;0;0;0;674208.72;0;141905.31
M; 0 t/m  4 jaar;EDE;3523;3158.11;4804632.34;717245.23;0;210839.34;78110.8;1629.76;246836.45;65945.07;70655.09;83400.57;118028.97;5678.22;46800;0;0;0;0;3851.87;0;0;0;55467.95;0;287259.41
M; 0 t/m  4 jaar;EEMNES;225;202.87;219860.11;12989.3;0;12238.68;5131.58;169.74;15324.52;3137.57;3385.27;5246.97;12054.9;0;2051.39;0;0;0;0;0;0;0;0;0;0;543.87
M; 0 t/m  4 jaar;EEMSDELTA;988;880.45;1401050.76;84838.1;0;59641.55;25501.73;7189.96;83020.02;28510.85;24056.25;50902.78;45574.74;1512.4;18559.96;0;0;0;0;129.35;0;0;0;14391.85;0;128012.56
M; 0 t/m  4 jaar;EERSEL;454;410.12;426732.95;30999.26;0;26903.49;12963.3;2089.25;25277.35;3044.78;6696.9;17198.27;19099.16;3091.85;9950.16;0;0;0;0;437.44;0;0;0;0;0;39343.94
M; 0 t/m  4 jaar;EIJSDEN-MARGRATEN;692;617.49;1211850.04;129082.51;0;41776.59;18134.78;9134.32;44050.04;14839.56;13275.37;54411.54;45594.26;701.4;6698.56;0;0;0;0;1028.57;0;0;0;107452.6;0;94207.61
M; 0 t/m  4 jaar;EINDHOVEN;5573;4931.26;8288228.7;488641.44;0;336867;160989.65;69129.3;320644.3;159012.35;131013.5;132269.41;292847.56;20532.06;98263.6;0;0;0;0;30473.55;0;0;0;355925.59;0;1459205.5
M; 0 t/m  4 jaar;ELBURG;660;597.29;1136079.44;42144.11;0;38823.91;14167.57;1174.19;45459.49;15865.88;12871.47;12599.94;25391.54;4808.24;12265.08;0;0;0;0;504.72;0;0;0;242599.28;0;41330.43
M; 0 t/m  4 jaar;EMMEN;2228;2006.34;3150480.81;243033.34;0;134586.99;65485.02;24898.62;222218.49;116714.03;59460.76;56174.47;82917.45;14312.35;38951.36;0;0;0;0;1218.78;0;0;0;93373.86;0;316889.55
M; 0 t/m  4 jaar;ENKHUIZEN;473;423.51;625730.35;47982.97;0;28644.4;11223.19;52.41;25975.73;12412.97;26767.72;8976.09;29203.68;39526.04;7955.25;0;0;0;0;2082.13;0;0;0;85765.12;0;2997.97
M; 0 t/m  4 jaar;ENSCHEDE;3553;3195.3;4522053.03;475159.12;0;198052.25;79053.34;47539.93;333064.42;77365.1;100521.75;137319.99;378181.12;6217.28;43357.8;0;0;0;0;3249.6;0;0;0;52088.04;230.4;974892.04
M; 0 t/m  4 jaar;EPE;791;705.81;795058.77;47885.63;0;46707.27;20301.17;389.36;68213.26;11194.5;20996.62;22565.05;32397.11;0;7933.17;0;0;0;0;0;0;0;0;4879.32;0;7641.29
M; 0 t/m  4 jaar;ERMELO;623;569.47;804585.96;69424.51;0;37899.25;13889.47;16156.18;43742.58;20091.73;15211.41;18610.28;33267.39;13723.43;5314.23;0;0;0;0;1748.56;0;0;0;71753.63;0;56160.11
M; 0 t/m  4 jaar;ETTEN-LEUR;1106;1001.02;1408363.42;55924.86;0;67277.3;26686.89;165.15;79664.68;11940.39;28075.62;34781.39;53744.09;93.36;9009.26;0;0;0;0;2463.85;0;0;0;15143.76;0;193033.67
M; 0 t/m  4 jaar;GEERTRUIDENBERG;493;442.34;615637.44;23423.49;0;29113.82;15071.26;1441.85;30590.09;4988.73;14351.17;15745.89;33111.73;3259.68;10106.5;0;0;0;0;0;0;0;0;737.04;0;98745.01
M; 0 t/m  4 jaar;GELDROP-MIERLO;1003;904.47;1383679.3;135627.52;0;60196.19;28954.72;2197.92;60925.54;23908.46;24396.29;29572.31;64325.9;13099.03;27549.61;0;0;0;0;4225.14;0;0;0;16967.72;0;224489.78
M; 0 t/m  4 jaar;GEMERT-BAKEL;756;677.4;1069803.16;220726.67;0;44543.64;23515.84;297.88;51980.39;9257.21;20757.9;29421.02;46679.06;4789.14;3746.9;0;0;0;0;192.68;0;0;0;5005.63;0;122905.06
M; 0 t/m  4 jaar;GENNEP;332;297.12;298238.66;50891.92;0;19829.95;7365.05;2618.1;30630.02;10838.6;12077.86;21026.7;15755.18;3885.6;4107.01;0;0;0;0;0;0;0;0;5222.24;0;28907.98
M; 0 t/m  4 jaar;GILZE EN RIJEN;634;558.19;1005063.89;102169.18;0;36759;17083.23;741.9;37427.3;29422.63;13183.39;24194.81;23993.78;4066.01;11352.52;0;0;0;0;570.64;0;0;0;23004.17;0;89126.45
M; 0 t/m  4 jaar;GOEREE-OVERFLAKKEE;1286;1162.54;1241814.81;96167.98;0;74038.64;25963.17;333.42;89352.41;28884.5;35169.52;49475.25;90140.4;38327.32;22848.7;0;0;0;0;490.25;0;0;0;225.28;0;139163.17
