GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_TWEEDELIJNS_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_EERSTELIJNS_PSYCHOLOGISCHE_ZORG;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_OVERIG
V;30 t/m 34 jaar;BLOEMENDAAL;277;272.41;352280.47;52483.01;46012.92;15093.32;10981.44;13987.55;13035.76;1535.35;527.77;789.19;143.08;7682.62;74959.84;55927.47;1391.7;4052.2;3.44;0;1238.96
V;30 t/m 34 jaar;BODEGRAVEN-REEUWIJK;800;792.71;793367.8;103487.01;119231.62;43920.01;27004.94;30697.9;13583.72;4709.13;5484.33;2331.64;3755.44;5281.2;242650.53;169785.58;2889.7;897.58;12.04;0;3903.42
V;30 t/m 34 jaar;BOEKEL;255;253.57;461897.69;73216.64;40021.31;14121.7;8467.14;5611.1;11111.37;0;1986.1;915.76;366.28;5611.7;76691.39;45279.7;2781.75;122.77;3.44;0;647.34
V;30 t/m 34 jaar;BORGER-ODOORN;464;461.84;469434.55;63606.93;95368.04;25795.45;19860.78;26484.59;31362.41;2620.07;945.44;945.69;2273.23;8840.94;131450.17;101004.97;5011.31;0;20.64;0;2286.38
V;30 t/m 34 jaar;BORNE;567;564.01;843960.88;96098.52;70975;31433.43;18887.62;30133.07;20271.53;110.17;4215.4;3196.06;0;7498.43;174239.46;95018.02;5916.4;9085.04;13.76;0;880.53
V;30 t/m 34 jaar;BORSELE;535;534.75;624911.86;67563.11;173071.03;30001.14;17629.62;17114.9;10215.79;1116.57;6350.38;406.44;9256.25;12522.52;125507.74;82422.18;2953.59;66539.32;1.72;0;1671.78
V;30 t/m 34 jaar;BOXMEER;572;566.96;612373.84;82120.5;206327.45;31573.36;21375.37;21768.95;19770.41;1603.75;1394.49;3027.51;8717.56;6493.45;136550.02;96425.37;7929.25;289.68;6.88;0;1886.78
V;30 t/m 34 jaar;BOXTEL;819;813.24;1035389.62;154984.07;148415.49;45591.58;34460.94;28235.54;34553.58;1346.62;12511.69;3543.59;4185.89;9975.48;195718.54;131511.28;8858.39;5680.43;6.88;0;6574.44
V;30 t/m 34 jaar;BREDA;5838;5782.64;6383904.01;962008.22;1452116.41;322202.44;217460.33;184342.44;121941.62;27462.03;58164.95;18540.69;28230.21;54698.18;1410444.21;1054321.91;65262.23;119151.15;71.81;0;32395.27
V;30 t/m 34 jaar;BRIELLE;387;384.8;394051.58;76354.44;132783.9;21260.57;14611.83;11717.99;13829.47;2879.24;5940.78;1034.98;0;4265.89;98318.95;56869.32;2400.24;383.18;3.44;0;917.15
V;30 t/m 34 jaar;BRONCKHORST;669;668.82;810825.93;98344.74;66749.61;37769.49;21667.57;32067.77;35611.13;11355.92;11801.85;4656.5;0;6336.08;179393.13;128762.1;6415.33;2593.97;6.88;0;579.44
V;30 t/m 34 jaar;BRUMMEN;445;444.08;508136.25;67934.25;84018.97;24797.08;17839.75;20884.23;22385.28;1945.28;8061.8;2086.68;1905.91;5834.52;108844.34;83387.61;1980;4981.58;3.44;0;1000.61
V;30 t/m 34 jaar;BRUNSSUM;747;742.41;921040.45;133975.41;271862.83;41278.41;31387.29;31867.43;29426.2;7080.08;7574.79;1292.8;2823.68;7177.02;123765.23;80178.16;9036.5;16903.52;5.16;0;10270.62
